county,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu,registed_car,2020_car,2021_car,2022_car,2023_car,2024_car,2025_car
"""13221""","""Oglethorpe""","""Athens-Clarke County, GA""",9.0,14931.0,5651.0,280999.48,61,73,47,27,34,20,34,40,27,10.83,0.46,2.08,2,2,25543,24842,26684,0,0,0,16147,14970,16956,12415,11340,13057,3725,3624,3891,7,7,8,9,8,9,1.0,0.8,0.09,0.02,2768,64,2361,87,260,6,4447,1057,1173,677,80,20,11754.08,12006.633881081081,12264.614257715122,12528.137726225488,12797.323388180874,13072.292904224221,13353.17054905823
"""13223""","""Paulding""","""Atlanta-Sandy Springs-Alpharetta, GA""",46.0,159825.0,53299.0,199890.27,47,58,51,23,29,25,24,30,26,10.62,4.74,2.17,2,2,24856,24391,24403,1,1,1,16627,16216,16338,13002,12659,12779,3625,3557,3559,0,0,0,0,0,0,0.8,3.3,0.61,0.27,8716,90,7853,83,119,18,3146,1307,1330,1172,77,23,115658.83,118143.93188783784,120682.42988380627,123275.47128266102,125924.22803049118,128629.89725438958,131393.70180350417
"""13225""","""Peach""","""Warner Robins, GA""",12.0,27145.0,10136.0,96181.85,47,57,44,21,26,20,26,30,25,8.81,2.23,2.01,2,2,22660,21968,22781,0,0,0,15345,14220,15464,12033,11007,12134,3305,3205,3322,8,8,7,9,9,9,2.2,1.0,1.01,0.11,3569,65,3367,86,84,15,2300,1032,1198,720,70,30,20373.359999999997,20811.111924324323,21258.269599455078,21715.035121929854,22181.61493063078,22658.219900086227,23145.065435777273
"""13227""","""Pickens""","""Atlanta-Sandy Springs-Alpharetta, GA""",17.0,31387.0,11868.0,148517.77,46,56,49,21,27,23,24,29,26,9.99,1.26,2.15,2,2,25131,24597,24590,0,0,0,16507,16032,16187,12833,12435,12592,3665,3587,3586,10,10,9,12,12,11,1.2,2.0,0.22,0.08,3756,75,3901,85,151,12,3496,1222,1371,639,79,21,25516.2,26064.453486486487,26624.487014101538,27196.553694539667,27780.912077976398,28377.826269922112,28987.566050586654
"""13229""","""Pierce""","""Waycross, GA""",12.0,19250.0,7048.0,217887.41,67,81,44,30,37,18,37,44,26,9.22,0.69,1.93,2,2,22278,21363,24191,0,0,0,14236,13641,16167,10980,10519,12633,3250,3116,3528,6,5,6,7,7,7,2.6,0.6,0.24,0.03,1914,59,1600,87,98,9,2984,951,1025,538,80,20,13602.64,13894.91294054054,14193.465799668373,14498.433510769355,14809.953906473726,15128.167780950662,15453.21895354136
"""13231""","""Pike""","""Atlanta-Sandy Springs-Alpharetta, GA""",8.0,18327.0,6143.0,138294.9,48,59,51,22,27,24,26,31,28,11.68,0.57,2.28,2,2,27425,26878,26867,0,0,0,17627,17164,17305,13619,13236,13379,3999,3920,3918,8,8,8,11,10,10,0.9,1.5,0.19,0.04,3093,83,2801,86,161,9,3063,1239,1336,747,86,14,14006.039999999999,14306.980589189188,14614.387334281228,14928.399170247541,15249.158017283942,15576.808844952611,15911.49973770227
"""13233""","""Polk""","""Cedartown, GA""",32.0,41908.0,15038.0,198612.77,56,69,42,24,30,17,32,39,25,8.86,2.09,1.97,2,2,22683,21801,23330,0,0,0,14474,13922,15662,11157,10734,12252,3309,3180,3402,8,8,8,10,10,10,1.2,1.9,0.42,0.08,3664,76,3763,85,104,15,2956,891,955,605,68,32,29624.86,30261.394154054058,30911.605190607384,31575.786977810974,32254.23969800989,32947.269983413076,33655.191054678304
"""13235""","""Pulaski""","""""",9.0,11216.0,3687.0,159527.02,55,67,42,23,29,16,32,39,26,8.65,1.01,1.98,2,2,23340,22481,24352,0,0,0,14634,14024,16061,11223,10739,12504,3405,3280,3551,6,6,6,7,7,7,0.9,0.7,0.19,0.02,1917,70,1738,87,197,7,4406,862,819,661,70,30,7300.26,7457.116937837838,7617.344180150842,7781.0141429405685,7948.200798174023,8118.97970721587,8293.428054979022
"""13237""","""Putnam""","""""",17.0,21691.0,8937.0,220596.02,56,67,47,26,32,21,30,35,26,9.86,0.83,2.02,2,2,24215,23654,25379,0,0,0,15630,14497,16357,12092,11039,12648,3531,3451,3701,7,7,8,9,9,10,1.6,1.1,0.29,0.04,2428,57,2264,86,239,8,5044,1110,1244,569,83,17,18052.74,18440.629954054057,18836.85430036414,19241.59211573683,19655.026324710096,20077.343782227515,20508.735358088892
"""13239""","""Quitman""","""Eufaula, AL-GA""",2.0,2289.0,842.0,96791.79,75,91,43,30,37,15,45,54,27,10.83,0.09,1.93,2,2,25107,24205,27757,0,0,0,14618,13972,17240,10950,10437,13186,3663,3531,4048,5,5,6,6,6,8,1.7,0.3,0.38,0.01,1331,46,1161,88,397,4,4864,796,847,682,86,14,1625.06,1659.9768297297298,1695.6438994495984,1732.0773291810156,1769.2935853080132,1807.3094880193612,1846.142218910588
"""13241""","""Rabun""","""""",13.0,16645.0,6662.0,236889.32,67,82,48,33,41,22,34,41,26,9.74,0.61,1.95,2,2,23382,22720,24946,0,0,0,14511,13924,16331,11093,10602,12686,3411,3314,3638,7,7,8,9,9,10,0.9,1.5,0.2,0.03,2299,75,2244,86,164,14,3483,1152,1288,700,83,17,12990.9,13270.028797297298,13555.155091725714,13846.407748426307,14143.918401399253,14447.821512996885,14758.254434695064
"""13243""","""Randolph""","""""",7.0,6973.0,2553.0,274070.64,71,86,40,26,32,13,45,53,27,9.99,0.29,1.89,2,2,24304,23040,26866,0,0,0,14290,13566,16790,10739,10200,12867,3545,3361,3918,5,5,5,6,6,6,0.8,0.3,0.88,0.01,1289,68,1140,88,296,4,4024,682,829,399,69,31,4825.17,4928.84595,5034.749531898649,5142.928609678634,5253.432075751459,5366.309873054768,5481.613017624459
"""13245""","""Richmond""","""Augusta-Richmond County, GA-SC""",140.0,201852.0,71400.0,207572.83,49,59,42,23,29,20,26,30,22,7.69,9.03,1.82,2,2,19234,18776,19325,1,1,1,13689,12659,13925,10879,9915,11102,2805,2739,2818,5,5,5,6,6,6,4.1,3.9,2.11,0.34,9872,63,12605,82,33,43,2094,1025,1023,908,62,38,129948.0,132740.12594594594,135592.24486829806,138505.6458053331,141481.6454922315,144521.5889561862,147626.85012429886
"""13247""","""Rockdale""","""Atlanta-Sandy Springs-Alpharetta, GA""",46.0,89717.0,31076.0,83083.69,44,54,48,22,27,24,22,27,24,9.06,6.37,2.03,2,2,21754,21285,21318,1,1,1,15289,14867,15004,12116,11763,11895,3172,3104,3109,0,0,0,0,0,0,1.7,3.9,1.49,0.37,10064,78,11429,82,61,28,2648,1241,1306,895,69,31,63084.27999999999,64439.739529729726,65824.32312232797,67238.656551578,68683.37903694299,70159.1435324665,71666.61702188032
