county,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""13167""","""Johnson""","""Dublin, GA""",8.00,9691.00,3393.00,193931.77,59,72,40,22,27,13,38,45,26,9.18,0.49,1.97,2,2,24713,23713,26095,0,0,0,14794,14177,16499,11183,10713,12688,3605,3459,3805,6,5,6,7,7,7,1.3,0.6,0.21,0.02,1558,61,1309,87,248,4,4356,703,816,436,73,27
"""13169""","""Jones""","""Macon-Bibb County, GA""",11.00,28579.00,10701.00,252122.26,66,81,49,32,40,23,34,41,26,10.57,1.35,2.02,2,2,24446,23744,25463,0,0,0,15060,14511,16532,11486,11039,12810,3566,3464,3713,8,8,9,11,10,11,1.0,1.6,0.15,0.04,3404,70,3004,85,214,8,4709,1194,1286,808,82,18
"""13171""","""Lamar""","""Atlanta-Sandy Springs-Alpharetta, GA""",12.00,18672.00,6494.00,117440.22,42,52,45,18,23,20,24,29,25,9.51,1.11,2.12,2,2,24520,23928,23945,0,0,0,16271,15771,15938,12687,12274,12439,3576,3490,3492,8,8,7,10,10,9,1.3,1.3,0.35,0.06,3034,74,2826,86,135,11,3253,1042,1181,587,74,26
"""13173""","""Lanier""","""Valdosta, GA""",7.00,10380.00,3714.00,125782.94,61,75,43,26,33,17,35,42,26,7.25,0.74,1.95,2,2,23527,22561,24760,0,0,0,14531,13901,16120,11093,10605,12504,3432,3291,3611,5,5,5,7,7,7,1.6,0.5,0.32,0.03,1730,64,1215,87,159,8,3775,914,1050,587,71,29
"""13175""","""Laurens""","""Dublin, GA""",36.00,47405.00,17142.00,516690.33,61,75,41,26,33,16,35,42,24,8.74,1.77,1.85,2,2,21708,20823,22936,0,0,0,13694,13096,15332,10520,10051,11980,3167,3038,3345,7,7,7,9,9,9,1.6,1.9,0.19,0.03,2555,63,3698,85,148,6,4044,850,879,614,71,29
"""13177""","""Lee""","""Albany, GA""",13.00,29502.00,10226.00,227725.27,65,80,49,31,39,22,34,41,26,10.94,3.10,2.04,2,2,24566,23835,25624,0,0,0,15156,14644,16568,11564,11160,12823,3584,3477,3737,8,7,8,9,9,10,1.0,1.7,0.31,0.04,3229,76,3289,85,204,4,5437,1172,1264,842,75,25
"""13179""","""Liberty""","""Hinesville, GA""",31.00,61349.00,23485.00,330540.59,55,66,44,27,34,22,28,32,23,8.53,6.82,1.80,2,2,20886,20493,21080,1,1,1,13832,12792,14240,10771,9787,11151,3046,2990,3074,16,16,15,19,20,19,2.7,3.1,1.52,0.07,4727,57,3130,83,66,11,3622,1136,1028,1035,54,46
"""13181""","""Lincoln""","""Augusta-Richmond County, GA-SC""",7.00,7856.00,3475.00,134643.76,58,70,50,28,35,24,30,35,26,8.77,0.32,2.09,2,2,25299,24564,25436,0,0,0,16211,14982,16494,12514,11392,12778,3689,3583,3709,7,7,7,8,8,8,1.7,0.6,0.15,0.03,2012,63,1669,87,190,8,4662,1238,1424,587,79,21
"""13183""","""Long""","""Hinesville, GA""",7.00,18692.00,5695.00,256251.23,58,69,47,26,32,20,32,37,26,11.57,0.66,2.07,2,2,25895,25086,26402,0,0,0,16176,15017,16606,12393,11351,12749,3776,3660,3850,7,6,7,8,8,8,2.0,0.8,0.73,0.02,2354,54,1162,87,206,6,3688,1067,1186,803,74,26
"""13185""","""Lowndes""","""Valdosta, GA""",69.00,115364.00,41282.00,318181.35,60,74,42,29,36,19,32,38,23,7.97,6.40,1.80,2,2,20000,19188,21052,1,1,0,13136,12628,14493,10208,9818,11413,2918,2799,3070,11,11,10,13,14,13,1.7,3.4,0.54,0.13,5653,66,7396,83,81,11,3460,993,1051,845,59,41
